company,model,year,fuel_type,transmission,kilometers_driven,owner_type,mileage,engine_capacity,price
Maruti,Swift,2015,Petrol,Manual,45000,First,18.5,1197,350000
Hyundai,i20,2016,Diesel,Manual,52000,First,22.1,1396,420000
Honda,City,2017,Petrol,Manual,38000,First,16.2,1498,550000
Toyota,Innova,2018,Diesel,Automatic,65000,Second,14.5,2494,950000
Maruti,Baleno,2019,Petrol,Manual,28000,First,21.4,1198,480000
Hyundai,Verna,2017,Diesel,Automatic,48000,First,21.0,1493,580000
Honda,Amaze,2016,Petrol,Manual,55000,Second,18.6,1199,380000
Toyota,Etios,2015,Diesel,Manual,72000,Second,23.5,1364,320000
Maruti,Dzire,2018,Petrol,Manual,35000,First,22.0,1197,520000
Hyundai,Creta,2019,Diesel,Automatic,32000,First,19.5,1493,850000
Honda,Civic,2017,Petrol,Automatic,42000,First,16.8,1799,720000
Toyota,Fortuner,2018,Diesel,Automatic,55000,First,14.2,2694,1200000
Maruti,Vitara,2019,Petrol,Automatic,25000,First,18.2,1462,780000
Hyundai,Elantra,2017,Diesel,Automatic,45000,Second,20.5,1582,620000
Honda,Jazz,2016,Petrol,Manual,58000,First,18.9,1199,360000
Toyota,Yaris,2018,Petrol,Automatic,38000,First,17.5,1496,540000
Maruti,Nexon,2019,Petrol,Manual,30000,First,17.8,1199,580000
Hyundai,Grand i10,2015,Petrol,Manual,62000,Second,20.1,1197,280000
Honda,WR-V,2017,Diesel,Manual,48000,First,23.2,1498,450000
Toyota,Glanza,2019,Petrol,Manual,32000,First,21.5,1198,490000
Maruti,Alto,2014,Petrol,Manual,75000,Third,22.4,998,180000
Hyundai,Santro,2016,Petrol,Manual,58000,Second,20.8,1086,320000
Honda,Brio,2015,Petrol,Manual,68000,Second,18.2,1198,250000
Toyota,Corolla,2017,Diesel,Automatic,42000,First,21.0,1364,680000
Maruti,Ciaz,2018,Diesel,Manual,36000,First,28.4,1248,560000
Hyundai,Accent,2014,Petrol,Manual,82000,Third,15.5,1495,220000
Honda,Mobilio,2016,Diesel,Manual,65000,Second,24.5,1498,380000
Toyota,Qualis,2013,Diesel,Manual,95000,Third,13.5,2494,280000
Maruti,Eeco,2015,Petrol,Manual,78000,Second,16.5,1196,260000
Hyundai,i10,2014,Petrol,Manual,85000,Third,19.8,1086,200000
Honda,CR-V,2018,Diesel,Automatic,38000,First,19.5,1597,950000
Toyota,Camry,2017,Hybrid,Automatic,45000,First,23.8,2494,1100000
Maruti,S-Cross,2019,Diesel,Manual,28000,First,24.2,1493,680000
Hyundai,Tucson,2018,Diesel,Automatic,35000,First,18.5,1995,890000
Honda,HR-V,2017,Petrol,Automatic,42000,First,17.2,1799,650000
Toyota,Rav4,2019,Hybrid,Automatic,25000,First,19.8,2487,980000
Maruti,XL6,2019,Petrol,Automatic,30000,First,20.5,1462,720000
Hyundai,Venue,2019,Petrol,Manual,32000,First,18.2,1199,560000
Honda,Passport,2018,Diesel,Automatic,38000,First,22.1,1999,850000
Toyota,Highlander,2019,Hybrid,Automatic,28000,First,20.5,2487,1050000
Maruti,Ertiga,2018,Diesel,Manual,40000,First,24.5,1498,620000
Hyundai,Santa Fe,2017,Diesel,Automatic,48000,Second,16.8,2199,920000
Honda,Pilot,2018,Petrol,Automatic,42000,First,17.5,3470,980000
Toyota,4Runner,2019,Petrol,Automatic,32000,First,15.2,4000,1150000
Maruti,Ignis,2017,Petrol,Manual,52000,First,20.1,1198,340000
Hyundai,Kona,2019,Electric,Automatic,18000,First,136.0,39.2,820000
Honda,Clarity,2018,Electric,Automatic,22000,First,110.0,60.0,880000
Toyota,Mirai,2019,Electric,Automatic,15000,First,100.0,60.0,950000
Maruti,WagonR,2016,Petrol,Manual,65000,Second,20.5,998,290000
Hyundai,Xcent,2015,Diesel,Manual,72000,Second,24.2,1197,310000
